# nof_control_points  dimension  delta_t  T_period
84  3  0.04  0.8  6
# control_point_x  control_point_y  control_point_z
-37.02       -86.44       -17.39
0.1282         91.27       -100.22
0           100             0
-38.04        84.04        13.17
3.56       -1.373         17.9
43.95        -1.99       -69.23
-8.2        85.95        11.74
1.1278        92.42        -1.38
0.94       -26.63         54.9
56.26        15.66        -11.6
27.31       14.728       -47.44
-50.53         3.68        52.42
-37.08       -33.92         17.6
54.2071         0.35       -32.15
-93.37         3.22         1.49
-29.91        65.91        -7.74
-92.01        -1.76        -1.54
23.1        30.22        26.78
13.12        29.46       -24.65
3.7661        99.04        -1.59
-4.84        8.15        0.24
29.65        -5.97           18
8.47        9.814        29.74
47.75       -10.78        78.85
-59.45       -66.32       -25.21
-28.5741       -35.48        21.98
-58.35        59.37        48.63
-77.12        17.47       -32.12
-142.34      -24.1002         -8.13
57.72           21       -72.65
118.077        197.16        -23.78
-23.738        243.51        -74.29
-130.61          30.3        -72.25
80.78         3.82          1.3
97.63     -39.1374        -1.89
37.35        20.64        26.36
-35.21        81.67        32.93
21.126        76.91       -10.61
-100.452        121.02         14.32
-110.68         167.9        -38.46
-116.81        6.5847         10.84
-8.97       -11.26         9.23
53.454        31.44          -74
-8.164       -80.39       -53.95
103.04        -51.57         -66.2
81.76       -94.14        -4.25
146.61        -9.959         54.09
-62.65       -38.78       -87.95
-36.93        -67.3       -93.79
13.396       -27.12         -8.9
-102.113         67.79        -18.99
-166.48        168.24         -16.5
-242.02     -6.369281         71.63
-30.87       -40.83        25.81
89.678        48.86       -78.55
48.026        157.36        -17.68
10.17        46.94        13.39
131.01         15.98        -25.26
53.53      10.0564         1.53
-10.85        33.83        45.22
-68.28        18.54         64.4
46.646        131.91         86.05
-106.939        162.08         35.55
-184.48         69.56        103.65
-98.63      39.1655        47.85
90.01        112.17        -91.11
86.982        233.47        -48.28
4.043        136.44        -46.55
3.84       -48.18       -29.37
0  0  0
19.5        3.053        44.11
25.81        30.11        89.44
57.57          77.6        109.11
78.526         90.13        171.07
-103.523        323.06        137.01
-160.59        301.96        -90.15
# control_point_x  control_point_y  control_point_z
-200             0             0
-107.19          31.2         14.69
-32.94         -3.3        -17.2
-25.9708        -6.13         11.6
-100             0             0
-100             0             0
-92.13        -4.164       -110.91
-53.22        -41.3        14.79
-27.39       -11.16        -68.7
30.9094        203.12        -150.6
-94.4        235.65         -94.4
-202.63        167.63         -82.8
-108.63         0.365          9.68
-62.82        -37.02       -102.97
-47.98       -44.24       -26.32
0.9661        -4.6        2.94
31.79        -50.8        79.79
58.68       -10.56        -8.11
-22.73       18.201       -99.17
-96.38        -9.13        -4.21
-100.69       -108.05         -2.84
49.9363       -76.51       -59.43
-84.83       -88.52        44.64
-71.58        58.53        19.01
-184.23       -7.2888           -11
-52.5       -18.16         14.8
-42.42       -13.26       -64.55
-2.1602       -86.34         0.35
-7.47        13.68         2.09
26.56         1.25        21.21
